Phase,Fraction,Guess for r
0.8037109375,4/5,5
0.3095703125,4/13,13
0.9658203125,20/21,21
0.896484375,17/19,19
0.861328125,6/7,7
0.58984375,10/17,17
0.10546875,2/19,19
0.03515625,1/21,21
0.13671875,2/15,15
0.4833984375,10/21,21
0.3271484375,1/3,3
0.8896484375,8/9,9
0.3447265625,7/20,20
0.599609375,3/5,5
0.9501953125,19/20,20
0.43359375,7/16,16
0.3193359375,6/19,19
0.26171875,5/19,19
0.72265625,13/18,18
0.20703125,4/19,19
0.9853515625,1/1,1
0.3076171875,4/13,13
0.6611328125,2/3,3
0.1025390625,1/10,10
0.24609375,1/4,4
0.7939453125,15/19,19
0.7890625,15/19,19
0.9921875,1/1,1
0.2431640625,5/21,21
0.447265625,9/20,20
0.48046875,10/21,21
0.109375,1/9,9
0.3603515625,5/14,14
0.4892578125,1/2,2
0.1865234375,3/16,16
0.9541015625,20/21,21
0.708984375,12/17,17
0.9638671875,20/21,21
0.75,3/4,4
0.70703125,12/17,17
0.1435546875,1/7,7
0.625,5/8,8
0.5234375,11/21,21
0.79296875,15/19,19
0.41015625,7/17,17
0.2119140625,4/19,19
0.1845703125,2/11,11
0.4208984375,8/19,19
0.5380859375,7/13,13
0.66796875,2/3,3
0.89453125,17/19,19
0.0419921875,1/21,21
0.931640625,14/15,15
0.798828125,4/5,5
0.333984375,1/3,3
0.6669921875,2/3,3
0.966796875,20/21,21
0.6689453125,2/3,3
0.2548828125,1/4,4
0.005859375,0/1,1
0.0693359375,1/14,14
0.791015625,15/19,19
0.1376953125,2/15,15
0.0546875,1/18,18
0.341796875,7/20,20
0.029296875,1/21,21
0.7158203125,5/7,7
0.060546875,1/17,17
0.0341796875,1/21,21
0.0712890625,1/14,14
0.3427734375,7/20,20
0.701171875,7/10,10
0.845703125,11/13,13
0.8125,13/16,16
0.9306640625,13/14,14
0.830078125,5/6,6
0.9873046875,1/1,1
0.27734375,5/18,18
0.3212890625,6/19,19
0.6025390625,3/5,5
0.2275390625,3/13,13
0.857421875,6/7,7
0.8134765625,13/16,16
0.5556640625,5/9,9
0.0244140625,1/21,21
0.6494140625,13/20,20
0.763671875,13/17,17
0.6455078125,11/17,17
0.78515625,11/14,14
0.8115234375,13/16,16
0.2060546875,4/19,19
0.73828125,14/19,19
0.7783203125,7/9,9
0.1298828125,2/15,15
0.61328125,8/13,13
0.0927734375,1/11,11
0.9033203125,19/21,21
0.4111328125,7/17,17
0.875,7/8,8
0.1787109375,3/17,17
0.681640625,13/19,19
0.2607421875,5/19,19
0.310546875,5/16,16
0.623046875,5/8,8
0.9794921875,1/1,1
0.9755859375,20/21,21
0.1630859375,1/6,6
0.9599609375,20/21,21
0.212890625,3/14,14
0.3818359375,8/21,21
0.6298828125,12/19,19
0.2744140625,3/11,11
0.673828125,2/3,3
0.99609375,1/1,1
0.1337890625,2/15,15
0.677734375,13/19,19
0.712890625,5/7,7
0.2861328125,2/7,7
0.986328125,1/1,1
0.3134765625,5/16,16
0.3505859375,7/20,20
0.98828125,1/1,1
0.8525390625,17/20,20
0.2646484375,5/19,19
0.462890625,6/13,13
0.4345703125,7/16,16
0.4326171875,3/7,7
0.017578125,0/1,1
0.16015625,3/19,19
0.8984375,9/10,10
0.9345703125,14/15,15
0.2197265625,2/9,9
0.7041015625,12/17,17
0.97265625,20/21,21
0.7001953125,7/10,10
0.5166015625,11/21,21
0.62890625,12/19,19
0.6064453125,11/18,18
0.3037109375,3/10,10
0.2421875,5/21,21
0.5244140625,11/21,21
0.2412109375,5/21,21
0.771484375,10/13,13
0.47265625,9/19,19
0.853515625,17/20,20
0.119140625,2/17,17
0.5791015625,11/19,19
0.2470703125,1/4,4
0.8369140625,5/6,6
0.9560546875,20/21,21
0.521484375,11/21,21
0.685546875,13/19,19
0.8603515625,6/7,7
0.7978515625,4/5,5
0.8212890625,14/17,17
0.08203125,1/12,12
0.6708984375,2/3,3
0.76953125,10/13,13
0.9521484375,20/21,21
0.5283203125,9/17,17
0.9228515625,12/13,13
0.7861328125,11/14,14
0.7626953125,16/21,21
0.6201171875,13/21,21
0.9267578125,13/14,14
0.7119140625,5/7,7
0.0322265625,1/21,21
0.5869140625,10/17,17
0.7470703125,3/4,4
0.5478515625,11/20,20
0.8095703125,17/21,21
0.2939453125,5/17,17
0.841796875,16/19,19
0.5576171875,5/9,9
